同时包含以下手术或操作：
38.1000x002 动脉内膜剥脱术
38.1100 颅内动脉内膜切除术
38.1200x003 颈动脉内膜剥脱术
38.1201 颈动脉内膜切除术
38.1202 颈动脉内膜切除伴补片修补术
38.3000x001 动脉瘤切除伴吻合术
38.3100 颅内血管部分切除伴吻合术
38.3100x001 脑血管切除伴吻合术
38.3101 颅内血管畸形切除伴吻合术
38.3200x002 颈内动脉瘤切除伴吻合术
38.3200x003 颈静脉部分切除伴吻合术
38.3201 颈动脉动脉瘤切除伴吻合术
38.3202 颈动脉部分切除伴吻合术
38.3500x003 锁骨下动脉部分切除伴吻合术
38.4100 颅内血管部分切除术伴置换术
38.4200x001 颈动脉部分切除伴颈总-颈内动脉人工血管搭桥术
38.4200x002 颈总动脉切除伴自体血管移植术
38.4200x003 颈动脉部分切除伴颈总-颈内动脉自体血管搭桥术
38.4201 颈动脉部分切除伴置换术
38.4202 椎动脉瘤切除伴置换术
38.4203 颈动脉动脉瘤切除伴置换术
38.4500x002 锁骨下动脉瘤切除伴人工血管置换术
38.4500x020 锁骨下动脉部分切除伴自体血管置换术
38.4508 锁骨下动脉瘤切除伴置换术
38.4509 锁骨下动脉部分切除伴置换术
38.5100 颅内血管静脉曲张的结扎术和剥脱术
38.5200x001 眶静脉曲张结扎术
38.5201 头部静脉曲张的结扎术和剥脱术
38.5202 颈部静脉曲张的结扎术和剥脱术
38.6100x002 颅内动脉瘤切除术
38.6101 颅内血管畸形切除术
38.6102 脑血管瘤切除术
38.6200x002 颈静脉瘤切除术
38.6200x003 颈静脉扩张切除术
38.6200x005 颈动脉瘤切除术
38.6200x006 颈外动脉瘤切除术
38.6200x007 颈外静脉瘤切除术
38.6200x008 颈动脉病损切除术
38.6200x009 颈静脉病损切除术
38.6200x010 颈动脉外膜剥离术
38.6201 颈部血管瘤切除术
38.6500x001 头臂干动脉瘤切除[无名动脉瘤切除术]
38.6500x002 头臂静脉病损切除术[无名静脉病损切除术]
38.8100x004 椎动脉结扎术
38.8101 颅内血管畸形夹闭术
38.8200x003 颈内动脉结扎术
38.8200x005 颈内静脉结扎术
38.8200x006 颈前静脉结扎术
38.8200x007 颈总动脉结扎术
38.8200x008 颈外动脉结扎术
38.8200x009 颞动脉结扎术
38.8201 颈动脉结扎术
38.8202 颈静脉结扎术
38.8504 锁骨下动脉结扎术
39.2800x002 颞肌贴敷术
39.2800x003 颈外动脉-大脑中动脉搭桥术
39.2800x005 颈内动脉-大脑中动脉搭桥术
39.2800x008 枕动脉-大脑后动脉搭桥术
39.2800x009 枕动脉-小脑动脉搭桥术
39.2800x010 颞浅动脉-大脑后动脉搭桥术
39.2801 颞浅动脉-大脑中动脉搭桥术
39.2802 脑硬膜动脉血管融通术
39.2900x057 颈动脉-椎动脉搭桥术
39.5100 钳夹动脉瘤
39.5100x004 内窥镜下脑动脉瘤夹闭术
39.5100x007 脑动脉瘤夹闭术
39.5101 颈动脉瘤夹闭术
39.5102 大脑前动脉瘤夹闭术
39.5103 大脑中动脉瘤夹闭术
39.5104 后交通动脉瘤夹闭术
39.5105 基底动脉瘤夹闭术
39.5106 椎动脉瘤夹闭术
39.5107 前交通动脉瘤夹闭术
39.5108 小脑上动脉瘤夹闭术
39.5200x002 动脉瘤破裂修补术
39.5200x003 动脉瘤孤立术
39.5200x007 颅内动脉瘤修补术
39.5200x008 颈动脉瘤修补术
39.5200x009 锁骨下动脉瘤修补术
39.5201 动脉瘤包裹术
39.5202 动脉瘤缝扎术
39.5203 动脉瘤折叠术
39.5300x011 动静脉瘘切除术
39.5900x013 颞浅动脉贴敷术
和
