包含以下主要诊断：
C40.000x006 肩关节恶性肿瘤
C40.001 肩胛骨恶性肿瘤
C40.002 肱骨恶性肿瘤
C40.003 尺骨恶性肿瘤
C40.004 桡骨恶性肿瘤
C40.005 肘关节恶性肿瘤
C40.100x006 腕关节恶性肿瘤
C40.200x005 膝关节恶性肿瘤
C40.201 股骨恶性肿瘤
C40.202 胫骨恶性肿瘤
C40.203 腓骨恶性肿瘤
C40.300x003 踝骨恶性肿瘤
C40.300x004 距骨恶性肿瘤
C40.300x005 跟骨恶性肿瘤
C40.300x009 足骨恶性肿瘤
C40.300x010 踝关节恶性肿瘤
C40.300x011 足关节恶性肿瘤
C40.301 髌骨恶性肿瘤
C40.800 四肢骨和关节软骨交搭跨越恶性肿瘤的损害
C40.900x001 四肢骨恶性肿瘤
C40.901 四肢关节软骨恶性肿瘤
C41.302 肋骨恶性肿瘤
C41.800 骨和关节软骨交搭跨越恶性肿瘤的损害
C41.900x001 骨恶性肿瘤
C41.901 关节软骨恶性肿瘤
C49.100x001 上肢结缔组织恶性肿瘤
C49.100x002 上肢软组织恶性肿瘤
C49.101 肩结缔组织和软组织恶性肿瘤
C49.102 肘结缔组织恶性肿瘤
C49.200x001 下肢结缔组织恶性肿瘤
C49.200x002 下肢软组织恶性肿瘤
C49.200x005 膝部结缔组织和软组织恶性肿瘤
C49.200x006 踝部结缔组织恶性肿瘤
C49.201 髋结缔组织和软组织恶性肿瘤
C49.300x002 肩胛区结缔组织恶性肿瘤
C76.400 上肢恶性肿瘤
C76.401 肩恶性肿瘤
C76.500 下肢恶性肿瘤
C76.502 腘窝恶性肿瘤
C79.500x001 骨继发恶性肿瘤
C79.500x010 股骨继发恶性肿瘤
C79.500x011 关节继发恶性肿瘤
C79.500x012 桡骨继发恶性肿瘤
C79.506 躯干骨继发恶性肿瘤
C79.507 上肢骨继发恶性肿瘤
C79.508 下肢骨继发恶性肿瘤
D16.000x002 肩胛骨良性肿瘤
D16.001 上肢长骨良性肿瘤
D16.002 肱骨良性肿瘤
D16.003 桡骨良性肿瘤
D16.004 尺骨良性肿瘤
D16.201 股骨良性肿瘤
D16.202 胫骨良性肿瘤
D16.301 髌骨良性肿瘤
D48.000x001 骨交界性肿瘤
D48.018 上肢骨动态未定肿瘤
D48.019 上肢骨肿瘤
