包含以下主要手术或操作：
04.0304 周围神经切断术
04.0400x031 足神经探查术
04.0414 坐骨神经探查术
04.0423 股神经探查术
04.0426 足底神经探查术
04.0713 周围神经病损切除术
04.2x02 周围神经破坏术
04.2x13 神经感觉支乙醇注射术
04.3x05 周围神经缝合术
04.3x15 坐骨神经缝合术
04.4300 腕管松解术
04.4900x034 腓深神经松解术
04.4900x037 胫后神经松解术
04.4900x042 周围神经松解术
04.4907 正中神经松解术
04.4913 股神经松解术
04.4914 胫神经松解术
04.4915 腓总神经松解术
04.4916 腓神经松解术
04.4917 足神经松解术
04.7502 周围神经修复术
07.2100x002 经皮肾上腺病损纳米刀消融术
07.4900x001 超声引导下肾上腺囊肿穿刺术
18.9x00x007 耳后皮肤扩张器置入术
38.0800x002 下肢动脉血栓切除术
38.0800x003 下肢动脉探查术
38.0801 股动脉取栓术
38.0802 腘动脉取栓术
38.0900x002 下肢静脉探查术
38.1800x001 股动脉内膜剥脱术
38.1800x004 腘动脉内膜剥脱术
38.1800x005 下肢动脉内膜剥脱伴血栓切除术
38.1801 股动脉内膜切除术
38.1802 股动脉内膜切除伴补片修补术
38.2400 经光学相干断层扫描的冠状血管血管内影像[OCT]
38.3800 下肢动脉部分切除术伴吻合术
38.5900x003 大隐静脉主干激光闭合术
38.5900x005 下肢静脉剥脱术
38.5901 大隐静脉高位结扎和剥脱术
38.5906 小隐静脉高位结扎和剥脱术
38.6000x012 血管病损切除术
38.6800x002 下肢动脉病损切除术
38.6901 下肢静脉病损切除术
39.5000x026 下肢静脉球囊扩张成形术
39.5000x029 髂总动脉球囊扩张成形术
39.5000x030 髂外动脉球囊扩张成形术
39.5000x031 下肢动脉球囊扩张成形术
39.5004 股动脉球囊血管成形术
39.5005 髂动脉球囊血管成形术
39.5008 无名动脉球囊血管成形术
39.5009 腘动脉球囊血管成形术
39.5010 腹主动脉球囊血管成形术
39.5011 胫动脉球囊血管成形术
39.5015 腓动脉球囊血管成形术
39.5303 动静脉瘘结扎术
39.5900x004 股动脉成形术
39.5900x008 髂动脉成形术
39.5900x011 无名动脉成形术
39.5900x036 下肢动脉成形术
39.7900x042 经皮下肢动脉取栓术
39.9000 周围（非冠状的）血管非药物洗脱支架置入
39.9004 髂动脉支架置入术
39.9009 股动脉支架置入术
39.9011 胫动脉支架置入术
39.9013 腘动脉支架置入术
39.9015 腓动脉支架置入术
39.9500 血液透析
39.9500x007 连续性肾脏替代治疗[CRRT]
39.9600x003 血液灌流
40.0x00x002 皮下淋巴抽吸术
40.2900x002 单纯淋巴结切除术
40.3x00x001 淋巴结扩大性区域性切除术
40.3x00x002 淋巴结区域性切除术
40.3x00x003 腔镜下区域性腋窝淋巴结区域切除术
44.9201 胃扭转复位术
44.9701 腹腔镜可调节胃束带去除术
45.6201 小肠部分切除术
45.6202 十二指肠部分切除术
45.6203 十二指肠切除术
45.6204 空肠部分切除术
45.6205 空肠切除术
45.6206 回肠部分切除术
45.6207 回肠切除术
45.6208 腹腔镜下小肠部分切除术
45.7500 左半结肠切除术
45.7500x001 降结肠部分切除术
45.9300x012 小肠-升结肠吻合术
45.9300x013 小肠-大肠吻合术
45.9300x014 小肠-结肠吻合术
45.9300x015 回肠贮袋肛管吻合术
45.9301 回肠-横结肠吻合术
45.9302 回肠-降结肠吻合术
45.9303 回肠-盲肠吻合术
45.9304 回肠-升结肠吻合术
45.9305 回肠-乙状结肠吻合术
45.9306 回肠-直肠吻合术
45.9307 空肠-横结肠吻合术
45.9310 空肠-乙状结肠吻合术
45.9400x004 降结肠-乙状结肠吻合术
45.9400x009 盲肠-乙状结肠吻合术
45.9400x012 升结肠-乙状结肠吻合术
45.9400x016 横结肠-直肠吻合术
45.9401 横结肠-降结肠吻合术
45.9402 横结肠-乙状结肠吻合术
45.9403 降结肠-直肠吻合术
45.9404 结肠-直肠吻合术
45.9405 乙状结肠-直肠吻合术
45.9406 升结肠-横结肠吻合术
45.9407 升结肠-降结肠吻合术
45.9408 升结肠-直肠吻合术
45.9502 回肠-肛门吻合术
45.9503 降结肠-肛门吻合术
52.2200x005 经皮胰腺病损射频消融术
52.2200x006 经皮胰腺病损微波消融术
52.2200x007 经皮胰腺病损冷冻消融术
52.2200x008 胰腺病损聚焦超声消融术
52.2200x009 经皮胰腺病损纳米刀消融术
52.2201 胰腺病损切除术
52.2202 胰腺病损射频消融术
52.5101 胰头切除术
52.5102 胰头伴部分胰体切除术
52.5103 胰头十二指肠切除术
52.5104 胰头部分切除术
52.5201 胰尾切除术
52.5202 胰尾伴部分胰体切除术
52.5203 胰尾部分切除术
52.5204 腹腔镜下胰尾切除术
52.5205 腹腔镜下胰尾伴部分胰体切除术
52.5206 腹腔镜下胰体胰尾病损切除术
52.5300 根治性胰腺次全切除术
52.5301 腹腔镜根治性胰体尾切除术
52.5901 胰腺部分切除术
52.5902 胰腺十二指肠部分切除术
52.5903 胰腺节段切除术
52.5904 胰体尾切除术
52.5905 腹腔镜胰腺部分切除术
52.5906 腹腔镜胰腺中段切除术
54.0x00x010 腹壁血肿清除术
54.0x00x021 腹膜外血肿清除术
