入组条件 1：主要诊断+其他诊断 1+主要手术或操作或入组条件 2：其他诊断 2+主要手术或操作
主要诊断：
T20.300 头和颈三度烧伤
T20.300x002 头部三度烧伤
T20.300x003 颈部三度烧伤
T20.300x004 头皮三度烧伤
T20.300x005 面部三度烧伤
T20.300x006 鼻部三度烧伤
T20.300x007 颞部三度烧伤
T20.300x008 唇部三度烧伤
T20.300x009 耳部三度烧伤
T20.300x010 眼伴头三度烧伤
T20.300x011 眼伴颈三度烧伤
T20.300x012 眼伴面三度烧伤
T20.700 头和颈三度腐蚀伤
T20.700x002 头部三度腐蚀伤
T20.700x003 颈部三度腐蚀伤
T20.700x004 头皮三度腐蚀伤
T20.700x005 面部三度腐蚀伤
T20.700x006 鼻部三度腐蚀伤
T20.700x007 颞部三度腐蚀伤
T20.700x008 唇部三度腐蚀伤
T20.700x009 耳部三度腐蚀伤
T20.700x010 眼伴头三度腐蚀伤
T20.700x011 眼伴颈三度腐蚀伤
T20.700x012 眼伴面三度腐蚀伤
T21.300 躯干三度烧伤
T21.300x011 乳房三度烧伤
T21.300x021 胸壁三度烧伤
T21.300x031 腹壁三度烧伤
T21.300x032 胁腹三度烧伤
T21.300x033 腹股沟三度烧伤
T21.300x041 臀部三度烧伤
T21.300x042 背部三度烧伤
T21.300x043 肩胛间区三度烧伤
T21.300x051 大阴唇三度烧伤
T21.300x052 小阴唇三度烧伤
T21.300x053 阴茎三度烧伤
T21.300x054 会阴三度烧伤
T21.300x055 阴囊三度烧伤
T21.300x056 睾丸三度烧伤
T21.300x057 外阴三度烧伤
T21.300x091 肛门三度烧伤
T21.700 躯干三度腐蚀伤
T21.700x011 乳房三度腐蚀伤
T21.700x021 胸壁三度腐蚀伤
T21.700x031 腹壁三度腐蚀伤
T21.700x032 胁腹三度腐蚀伤
T21.700x033 腹股沟三度腐蚀伤
T21.700x041 臀部三度腐蚀伤
T21.700x042 背部三度腐蚀伤
T21.700x043 肩胛间区三度腐蚀伤
T21.700x051 大阴唇三度腐蚀伤
T21.700x052 小阴唇三度腐蚀伤
T21.700x053 阴茎三度腐蚀伤
T21.700x054 会阴三度腐蚀伤
T21.700x055 阴囊三度腐蚀伤
T21.700x056 睾丸三度腐蚀伤
T21.700x057 外阴三度腐蚀伤
T21.700x091 肛门三度腐蚀伤
T22.300x001 肩和上肢三度烧伤
T22.300x002 上肢三度烧伤
T22.300x003 肩部三度烧伤
T22.300x004 肩胛区三度烧伤
T22.300x005 臂三度烧伤
T22.300x006 腋三度烧伤
T22.700x001 肩和上肢三度腐蚀伤
T22.700x002 上肢三度腐蚀伤
T22.700x003 肩部三度腐蚀伤
T22.700x004 肩胛区三度腐蚀伤
T22.700x005 臂三度腐蚀伤
T22.700x006 腋三度腐蚀伤
T23.300 腕和手三度烧伤
T23.300x002 腕部三度烧伤
T23.300x003 手部三度烧伤
T23.300x004 手掌三度烧伤
T23.300x005 拇指三度烧伤
T23.300x006 手指三度烧伤
T23.300x007 指甲三度烧伤
T23.700 腕和手三度腐蚀伤
T23.700x002 腕部三度腐蚀伤
T23.700x003 手部三度腐蚀伤
T23.700x004 手掌三度腐蚀伤
T23.700x005 拇指三度腐蚀伤
T23.700x006 手指三度腐蚀伤
T23.700x007 指甲三度腐蚀伤
T24.300x001 髋和下肢三度烧伤
T24.300x002 髋部三度烧伤
T24.300x003 下肢三度烧伤
T24.300x004 小腿三度烧伤
T24.700x001 髋和下肢三度腐蚀伤
T24.700x002 髋部三度腐蚀伤
T24.700x003 下肢三度腐蚀伤
T24.700x004 小腿三度腐蚀伤
T25.300 踝和足三度烧伤
T25.300x002 踝部三度烧伤
T25.300x003 足部三度烧伤
