入组条件：（主要诊断或其他诊断）+主要手术或操作
主要诊断：
T20.000x010 眼伴头烧伤
T20.000x011 眼伴颈烧伤
T20.000x012 眼伴面烧伤
T20.100 头和颈一度烧伤
T20.100x002 头部一度烧伤
T20.100x003 颈部一度烧伤
T20.100x004 头皮一度烧伤
T20.100x005 面部一度烧伤
T20.100x006 鼻部一度烧伤
T20.100x007 颞部一度烧伤
T20.100x008 唇部一度烧伤
T20.100x009 耳部一度烧伤
T20.100x010 眼伴头一度烧伤
T20.100x011 眼伴颈一度烧伤
T20.100x012 眼伴面一度烧伤
T20.200 头和颈二度烧伤
T20.200x002 头部二度烧伤
T20.200x003 颈部二度烧伤
T20.200x004 头皮二度烧伤
T20.200x006 鼻部二度烧伤
T20.200x007 颞部二度烧伤
T20.200x008 唇部二度烧伤
T20.200x009 耳部二度烧伤
T20.200x010 眼伴头二度烧伤
T20.200x011 眼伴颈二度烧伤
T20.200x012 眼伴面二度烧伤
T20.201 面部二度烧伤
T20.300 头和颈三度烧伤
T20.300x002 头部三度烧伤
T20.300x003 颈部三度烧伤
T20.300x004 头皮三度烧伤
T20.300x005 面部三度烧伤
T20.300x006 鼻部三度烧伤
T20.300x007 颞部三度烧伤
T20.300x008 唇部三度烧伤
T20.300x009 耳部三度烧伤
T20.300x010 眼伴头三度烧伤
T20.300x011 眼伴颈三度烧伤
T20.300x012 眼伴面三度烧伤
T20.400x010 眼伴头腐蚀伤
T20.400x011 眼伴颈腐蚀伤
T20.400x012 眼伴面腐蚀伤
T20.500 头和颈一度腐蚀伤
T20.500x002 头部一度腐蚀伤
T20.500x003 颈部一度腐蚀伤
T20.500x004 头皮一度腐蚀伤
T20.500x005 面部一度腐蚀伤
T20.500x006 鼻部一度腐蚀伤
T20.500x007 颞部一度腐蚀伤
T20.500x008 唇部一度腐蚀伤
T20.500x009 耳部一度腐蚀伤
T20.500x010 眼伴头一度腐蚀伤
T20.500x011 眼伴颈一度腐蚀伤
T20.500x012 眼伴面一度腐蚀伤
T20.600 头和颈二度腐蚀伤
T20.600x002 头部二度腐蚀伤
T20.600x003 颈部二度腐蚀伤
T20.600x004 头皮二度腐蚀伤
T20.600x005 面部二度腐蚀伤
T20.600x006 鼻部二度腐蚀伤
T20.600x007 颞部二度腐蚀伤
T20.600x008 唇部二度腐蚀伤
T20.600x009 耳部二度腐蚀伤
T20.600x010 眼伴头二度腐蚀伤
T20.600x011 眼伴颈二度腐蚀伤
T20.600x012 眼伴面二度腐蚀伤
T21.000 躯干烧伤 #
T21.000x011 乳房烧伤 #
T21.000x021 胸壁烧伤 #
T21.000x031 腹壁烧伤 #
T21.000x032 胁腹烧伤 #
T21.000x033 腹股沟烧伤 #
T21.000x041 臀部烧伤 #
T21.000x042 背部烧伤 #
T21.000x043 肩胛间区烧伤 #
T21.000x051 大阴唇烧伤 #
T21.000x052 小阴唇烧伤 #
T21.000x053 阴茎烧伤 #
T21.000x054 会阴烧伤 #
T21.000x055 阴囊烧伤 #
T21.000x056 睾丸烧伤 #
T21.000x057 外阴烧伤 #
T21.000x091 肛门烧伤 #
T21.100 躯干一度烧伤
T21.100x011 乳房一度烧伤
T21.100x021 胸壁一度烧伤
T21.100x031 腹壁一度烧伤
T21.100x032 胁腹一度烧伤
T21.100x033 腹股沟一度烧伤
T21.100x041 臀部一度烧伤
T21.100x042 背部一度烧伤
T21.100x043 肩胛间区一度烧伤
T21.100x051 大阴唇一度烧伤
T21.100x052 小阴唇一度烧伤
T21.100x053 阴茎一度烧伤
T21.100x054 会阴一度烧伤
T21.100x055 阴囊一度烧伤
T21.100x056 睾丸一度烧伤
T21.100x057 外阴一度烧伤
T21.100x091 肛门一度烧伤
T21.200 躯干二度烧伤
T21.200x011 乳房二度烧伤
T21.200x021 胸壁二度烧伤
T21.200x031 腹壁二度烧伤
T21.200x032 胁腹二度烧伤
