00.0101 头部血管治疗性超声
00.0900x001 治疗性超声
00.0901 高强度聚焦超声治疗
00.1000 化学治疗物质植入
00.1101 重组蛋白输注
00.1201 一氧化氮疗法
00.1301 人类 B 型钠尿肽（hBNP）输注
00.1400x001 注射噁唑烷酮类抗生素
00.1400x002 输注噁唑烷酮类抗生素
00.1500x001 输注白细胞介素
00.1500x002 注射阿地白细胞介素
00.1601 经活体外血管治疗
00.1602 高压移植[引导]
00.1700 血管加压剂灌注
00.1801 单克隆抗体治疗
00.1802 多克隆抗体治疗
00.1900 经输注的血脑屏障破坏术[BBBD]
00.2800 血管内显像，其他特指的血管
00.2900x001 血管内超声
00.3101 CT 导航计算机辅助外科手术
00.3200x001 MRA 神经导航辅助外科
00.3201 MR 神经导航计算机辅助外科手术
00.3300 荧光透视的计算机辅助外科手术
00.3400x002 磁导航计算机辅助外科
00.3500x001 显像导航计算机辅助外科
00.3900x001 计算机辅助外科
00.4000 单根血管操作
00.4100 两根血管操作
00.4200 三根血管操作
00.4301 四根血管操作
00.4302 四根以上血管操作
00.4400x001 血管分叉部位的操作
00.4500 置入一根血管支架
00.4600 置入两根血管支架
00.4700 置入三根血管支架
00.4801 四根血管支架置入
00.4802 四根以上血管支架置入
00.4900 过饱和氧化治疗
00.5800 置入动脉瘤囊内压力监测装置（手术中）
00.6800x001 肢体动脉血管内压力测量
00.6900x001 血管内压力测量
00.6900x002 髂部血管血管内压力测量
00.6900x003 腹内血管血管内压力测量
00.6900x004 肠系膜血管血管内压力测量
00.6900x005 肾血管内压力测量
00.6901 外周静脉内压力测量
00.7400 髋轴面，金属与聚乙烯
00.7500 髋轴面，金属与金属
00.7600 髋轴面，陶瓷与陶瓷
00.7601 黑金股骨头
00.7700 髋轴面，陶瓷与聚乙烯
00.7800 髋轴面，陶瓷与金属
00.9100 与供者有血缘关系的活体移植
00.9200 与供者无血缘关系的活体移植
00.9300 从尸体上移植
00.9400 手术中神经生理监测
01.1100x001 经皮脑膜活检
01.1300x001 经皮脑活检
01.1300x002 立体定向脑活检
01.1301 神经导航下颅内病变活组织检查
01.1900 颅骨其他诊断性操作
03.3101 腰椎穿刺术
03.3900 脊髓和椎管结构的其他诊断性操作
03.9100x004 椎管内止痛剂注入术
03.9101 椎管内置管止痛术
03.9102 脊神经根阻滞术
03.9200x001 椎管内注射封闭
03.9201 脊髓蛛网膜下腔注射术
04.1101 闭合性颅神经活组织检查
04.1102 闭合性周围神经活组织检查
04.1103 闭合性神经节活组织检查术
04.1900 颅和周围神经和神经节的其他诊断性操作
04.2x12 内脏神经无水酒精注射术
04.8000 周围神经注射
04.8100x003 周围神经麻醉止痛
04.8101 周围神经阻滞术
04.8102 三叉神经阻滞术
04.8103 下颌神经阻滞术
04.8104 肋间神经阻滞术
04.8105 腹腔神经阻滞术
04.8106 股神经阻滞术
04.8900 其他物质注射，除外神经破坏药
05.1900 交感神经或神经节的其他诊断性操作
05.9x00 神经系统的其他手术
