B95.000 A 族链球菌作为分类于其他章疾病的原因
B95.100 B 族链球菌作为分类于其他章疾病的原因
B95.200 D 组链球菌和肠球菌疾病作为其他章节疾病分类的原因
B95.300 肺炎链球菌作为分类于其他章疾病的原因
B95.400 链球菌作为分类于其他章疾病的原因，其他的
B95.500 链球菌作为分类于其他章疾病的原因
B95.600 金黄色葡萄球菌作为分类于其他章疾病的原因
B95.700 葡萄球菌，其他的，作为分类于其他章疾病的原因
B95.800 葡萄球菌作为分类于其他章疾病的原因
B96.000 肺炎支原体作为分类于其他章疾病的原因
B96.100 肺炎杆菌作为分类于其他章疾病的原因
B96.200 大肠杆菌作为分类于其他章疾病的原因
B96.300 流感嗜血杆菌作为分类于其他章疾病的原因
B96.400 变形菌（奇异）（摩根）作为分类于其他章的疾病的原因
B96.501 绿脓杆菌感染
B96.600 脆弱（微小）杆菌作为分类于其他章疾病的原因
B96.700 产气荚膜梭状芽胞杆菌作为分类于其他章疾病的原因
B96.800 细菌性病原体作为分类于其他章疾病的原因，其他特指的
B96.801 难辨梭状芽胞杆菌感染
B97.000 腺病毒作为分类于其他章疾病的原因
B97.100 肠病毒作为分类于其他章疾病的原因
B97.200 冠状病毒作为分类于其他章疾病的原因
B97.300 反转录病毒作为分类于其他章疾病的原因
B97.400 呼吸道合胞体病毒作为分类于其他章疾病的原因
B97.500 呼肠孤病毒作为分类于其他章疾病的原因
B97.600 细小病毒作为分类于其他章疾病的原因
B97.700 乳头状瘤病毒作为分类于其他章疾病的原因
B97.800 病毒性病原体，其他的作为分类于其他章疾病的原因
B98.000 幽门螺杆菌作为其他章节疾病分类的原因
B98.100 创伤弧菌作为其他章节的疾病分类的原因
I25.200 陈旧性心肌梗死
I25.200x006 陈旧性前壁下壁心肌梗死
I25.200x009 陈旧性小灶性心肌梗死
I25.200x011 陈旧性心内膜下心肌梗死
I25.200x012 陈旧性正后壁心肌梗死
I25.200x014 陈旧性非 ST 段抬高性心肌梗死
I25.200x015 陈旧性右心室心肌梗死
I25.200x016 陈旧性广泛前壁心肌梗死
I25.200x017 陈旧性前壁高侧壁心肌梗死
I25.200x018 陈旧性下壁高侧壁心肌梗死
I25.200x019 陈旧性高侧壁正后壁心肌梗死
I25.200x020 陈旧性前间壁高侧壁心肌梗死
I25.200x021 陈旧性前壁下壁高侧壁心肌梗死
I25.200x022 陈旧性前间壁下壁心肌梗死
